"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"69","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.173751573","0.011328623","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"70","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.148352706","0.009006069","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"71","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.030167142","0.002414469","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"72","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.012138544","0.001474405","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"73","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.031252544","0.043842509","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"74","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.063058136","0.080871084","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"75","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.250869885","0.051045691","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"76","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.122602322","0.02040598","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"77","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.059040672","0.042270084","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"78","Rutten et al. 2016","2016","Field","Field","Greenhouse","-0.487076444","0.085843552","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
