"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"4559","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.31481074","0.054807928","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4560","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.387115969","0.111657305","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4561","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.327964838","0.06903045","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4562","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.264797779","0.20884873","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4563","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.068467799","0.160334731","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4564","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.066691374","0.073792861","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4565","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.147324715","0.074041357","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4566","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.393042588","0.140126886","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4567","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.239994242","0.163260015","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4568","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.321583624","0.133201546","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4569","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.473085296","0.09999191","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4570","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.138998875","0.037791171","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4571","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.072162446","0.054127497","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4572","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.074107972","0.02132643","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4573","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.226808797","0.105204681","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4574","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.266175867","0.104801695","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4575","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.319287412","0.128684488","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4576","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.150677248","0.090364436","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4577","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.012739026","0.043519657","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4578","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.708895538","0.386393783","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4579","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.187771162","0.059901332","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4580","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.393042588","0.006111968","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4581","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.01368149","0.040605402","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4582","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.410148957","0.030749358","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4583","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.285663908","0.077927675","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4584","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.468973393","0.048798884","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4585","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.10074157","0.10615591","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4586","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.185836499","0.049739106","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4587","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.587786665","0.149837852","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4588","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.133531393","0.030045351","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4589","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.100083459","0.821364187","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4590","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.957408979","0.157496555","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4591","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.510825624","0.02122449","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4592","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0","0.000503905","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4593","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.057158414","0.003460208","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4594","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.510825624","0.16","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4595","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.068992871","0.022592593","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4596","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.060624622","0.019085208","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4597","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","1.540445041","0.18877551","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4598","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.164874643","0.04535023","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4599","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.382992252","0.098577696","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4600","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.027674722","0.248582295","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4601","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.15183854","0.215496682","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4602","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.132589921","0.089089968","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4603","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.029852963","0.05093142","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4604","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.392063675","0.12288979","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4605","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.089406588","0.197825564","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4606","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.013303966","0.022997325","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4607","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.081522577","0.102882868","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4608","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.949813424","0.137833336","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4609","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.179201429","0.110109666","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4610","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.796943974","0.252293802","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4611","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.389464767","0.196266644","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4612","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.494696242","0.070933968","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4613","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.14496577","0.119494032","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4614","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.15415068","0.017241611","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4615","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.025975486","0.052539721","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4616","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.026567027","0.103526445","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4617","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.09531018","0.126219008","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4618","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.096014653","0.126116091","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4619","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.180818927","0.21223806","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4620","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.136859183","0.420531843","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4621","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.445954955","0.061428562","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4622","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.375387653","0.120236137","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4623","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.123899263","0.296976831","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4624","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-1.499623046","0.692714796","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4625","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.356674944","1.351379592","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4626","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.027398974","0.023511285","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4627","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","1.011600912","0.070764463","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4628","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0","0.106508876","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4629","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.233614851","0.002770083","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4630","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.451985124","0.041701805","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4631","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.048202102","0.071988683","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4632","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.328504067","0.04","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4633","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0","0.258503401","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4634","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.130361818","0.039661871","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4635","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0","0.1225","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4636","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.3074847","0.191500346","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4637","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.028170877","0.005016004","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4638","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.236388778","0.042770083","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4639","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.287682072","0.0625","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4640","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.456758402","0.082268595","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4641","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.117783036","0.673611111","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4642","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.015037877","0.000870903","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4643","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.385662481","0.133060208","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4644","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.336472237","0.302857143","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4645","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.380772496","0.067383644","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4646","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.517943092","0.122264207","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4647","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.538996501","0.102465986","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4648","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.494165879","0.06365895","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4649","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.247501995","0.010511082","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4650","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.467707417","0.225069692","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4651","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.446910516","0.090934406","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4652","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.528525201","0.140836113","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4653","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-2.44423561","0.084173586","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4654","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.278937482","0.083947116","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4655","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.748206958","0.054664966","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4656","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","0.343771539","0.12264744","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4657","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.573707144","0.131560424","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
"4658","Dostal et al. 2021","2021","12","Greenhouse","Greenhouse","-0.118951943","0.224722226","HU","","low","F.H=Greenhouse; Phase1.m.ori=12 (numeric duration); Phase1.m=Greenhouse; Experimental.setting=Greenhouse; prior organism provenance is unresolved.","B-HU-003","coder-b"
