"omitted_study","estimate","se","ci_low","ci_high","statistic","df","p_value","tau2"
"Van der Stoel et al. 2002||2002","0.00398135370006685","0.09276453106400889","-0.1798749310694488","0.1878376384695825","0.042918922290672255","109","0.9658446878616799","0.20137553935735375"
"Wagg et al. 2015||2015","-0.005802526058573984","0.09309969583719431","-0.19032309651224805","0.17871804439510008","-0.062325940019406736","109","0.9504174165974493","0.2048123014737336"
"Wagner et al. 2011||2011","-0.0012098490551571152","0.09312225342863864","-0.1857751279217206","0.18335542981140637","-0.012992050885927559","109","0.9896578848132093","0.20520547591289098"
"Werger et al. 2020||2020","-0.0005005720493400187","0.09577327594038137","-0.19032009134873715","0.18931894725005713","-0.005226635973605243","109","0.9958393206731313","0.20537575413012193"
"Xi et al. 2018||2018","0.0016211427630453252","0.0930285710650667","-0.18275846070455692","0.18600074623064755","0.01742628898289165","109","0.9861283948917987","0.2039791579148257"
"Xiao et al. 2014||2014","-0.004083723434896407","0.09313639225713151","-0.1886770249998757","0.1805095781300829","-0.04384669983374532","109","0.9651068254348864","0.20532354706757794"
"Xin et al. 2017||2017","-0.003101294084326246","0.09314781808109815","-0.18771724126095088","0.1815146530922984","-0.033294328822883835","109","0.9735007681480478","0.2054534058762628"
"Xue,2018,PS||2018","0.001786461002004584","0.0930177098078345","-0.18257161580686576","0.18614453781087492","0.01920560080112957","109","0.9847122017811959","0.20385622495641156"
"Yelenik,2011||2011","-0.011646553156565508","0.09544265786753954","-0.2008107981840708","0.17751769187093977","-0.12202670605348419","109","0.9031025586598799","0.2050577302813535"
"de la Pena et al. 2010||2010","-0.0040626229731076735","0.093134349609942","-0.18865187607776437","0.18052663013154904","-0.04362110209737259","109","0.9652862407820156","0.20531353634376626"
"van Nuland,2017||2017","-0.005398605187381044","0.09310880235922667","-0.1899372244716678","0.1791400140969057","-0.05798168433691668","109","0.95386937920768","0.2049564755523354"
"van der Putten et al. 2007||2007","-0.0012330907931077002","0.09306487844886226","-0.18568465431503012","0.1832184727288147","-0.013249797492458608","109","0.9894527217307951","0.20486657417285511"
